95,16,49,80,82,83
95,17,50,79,82,83
95,18,52,78,82,83
95,19,54,78,82,83
95,20,56,77,82,83
95,21,58,76,82,83
95,23,60,76,82,83
95,24,62,75,82,83
95,16,54,82,82,83
95,8,47,90,82,83
95,2,41,98,82,83
95,0,40,109,82,83
95,0,39,120,82,83
95,0,36,127,82,83
95,1,32,132,82,83
95,3,27,135,82,83
87,0,28,145,74,83
79,0,30,153,64,83
70,0,28,156,52,83
61,2,25,157,40,83
52,4,21,155,29,83
44,7,19,152,20,83
37,11,17,148,13,83
31,15,17,144,6,83
26,6,21,150,11,83
20,0,28,156,15,83
12,0,38,163,18,83
10,0,49,170,20,83
10,0,61,176,20,83
10,0,76,180,19,83
10,0,94,180,15,83
10,0,115,176,6,83
10,2,115,175,11,83
10,3,115,174,16,83
10,4,115,172,23,83
10,5,116,170,32,83
10,6,117,167,43,83
10,7,119,164,57,83
10,7,120,161,73,83
11,9,120,159,91,83
